Vehicle Spy 3 Bus Traffic File
Save Date,11/29/2018
Save Time,3:53:39 pm
Start Date,11/29/2018
Start Time,3:53:21 pm
System Time,6132156
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
1,2.570999999999998,0,67371012,F,F,HS CAN $18F00131,HS CAN,,18F00131,F,T,FF,FF,FF,3F,00,FF,FF,FF,,,
2,2.571587999999992,0.0005879999999933716,67371012,F,F,HS CAN $18E0FF31,HS CAN,,18E0FF31,F,T,00,FF,FF,FF,FF,F0,FF,FF,,,
3,2.572163950000004,0.0005759500000124262,67371012,F,F,HS CAN $18FEF131,HS CAN,,18FEF131,F,T,F7,FF,FF,C7,CC,FF,FF,FF,,,
4,2.572759949999991,0.0005959999999873844,67371012,F,F,HS CAN $18FEF031,HS CAN,,18FEF031,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
5,2.573343925000003,0.0005839750000120603,67371012,F,F,HS CAN $18FEFC31,HS CAN,,18FEFC31,F,T,FF,1F,FF,FF,FF,FF,00,FF,,,
6,2.573923925000002,0.0005799999999993588,67371012,F,F,HS CAN $18FEAE31,HS CAN,,18FEAE31,F,T,FF,FF,6E,6E,FF,FF,FF,FF,,,
7,2.574516074999991,0.0005921499999885782,67371012,F,F,HS CAN $18FEF731,HS CAN,,18FEF731,F,T,FF,FF,FF,FF,FA,00,FF,FF,,,
8,2.575108075000003,0.0005920000000116943,67371012,F,F,HS CAN $18FF0431,HS CAN,,18FF0431,F,T,40,9C,FF,FF,FF,FF,FF,FF,,,
9,2.575708050000003,0.0005999750000000859,67371012,F,F,HS CAN $18FF5031,HS CAN,,18FF5031,F,T,FF,FF,FF,FF,FF,FA,FF,FF,,,
10,2.576308025000003,0.0005999750000000859,67371012,F,F,HS CAN $18FD8331,HS CAN,,18FD8331,F,T,F8,FF,FF,FF,FF,FF,FF,FF,,,
11,2.576899999999995,0.0005919749999918622,67371012,F,F,HS CAN $18FEFA31,HS CAN,,18FEFA31,F,T,00,DC,DC,FF,FF,FF,FF,FF,,,
12,2.577495799999994,0.000595799999999258,67371012,F,F,HS CAN $18FEF231,HS CAN,,18FEF231,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
13,2.578099774999998,0.0006039750000041977,67371012,F,F,HS CAN $18FEF831,HS CAN,,18FEF831,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
14,2.578683749999996,0.0005839749999978494,67371012,F,F,HS CAN $18FEC131,HS CAN,,18FEC131,F,T,17,10,31,0A,FF,FF,FF,FF,,,
15,2.579283924999998,0.0006001750000024231,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
16,2.581403649999998,0.002119725000000017,67371012,F,F,HS CAN $18EA00F9,HS CAN,,18EA00F9,F,T,EC,FE,00,,,,,,,,
17,2.581963649999992,0.0005599999999930105,67371012,F,F,HS CAN $18FECA31,HS CAN,,18FECA31,F,T,C0,FF,A8,00,11,7E,FF,FF,,,
18,2.620990649999996,0.03902700000000436,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
19,2.671000899999996,0.0500102499999997,67371012,F,F,HS CAN $18F00131,HS CAN,,18F00131,F,T,FF,FF,FF,3F,00,FF,FF,FF,,,
20,2.671573074999998,0.000572175000002062,290271137103876,F,F,HS CAN $18FEF131,HS CAN,,18FEF131,F,T,F7,FF,FF,07,CC,FF,FF,FF,,,
21,2.672169049999994,0.000595974999995974,67371012,F,F,HS CAN $18FEF031,HS CAN,,18FEF031,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
22,2.672764849999993,0.000595799999999258,67371012,F,F,HS CAN $18FF0431,HS CAN,,18FF0431,F,T,40,9C,FF,FF,FF,FF,FF,FF,,,
23,2.673364824999993,0.0005999750000000859,67371012,F,F,HS CAN $18FF5031,HS CAN,,18FF5031,F,T,FF,FF,FF,FF,FF,FA,FF,FF,,,
24,2.673960800000003,0.0005959750000101849,67371012,F,F,HS CAN $18FEF231,HS CAN,,18FEF231,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
25,2.674560775000004,0.0005999750000000859,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
26,2.707927999999996,0.03336722499999212,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
27,2.720995599999995,0.0130675999999994,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
28,2.727827250000004,0.006831650000009404,67371012,F,F,HS CAN $18F0010B,HS CAN,,18F0010B,F,T,CF,FF,F0,FF,FF,DC,FF,FF,,,
29,2.728427249999996,0.0005999999999914962,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
30,2.737842900000004,0.009415650000008214,67371012,F,F,HS CAN $18FEBF0B,HS CAN,,18FEBF0B,F,T,00,00,7D,7D,7D,7D,FF,FF,,,
31,2.747862525000002,0.0100196249999982,67371012,F,F,HS CAN $18FECA0B,HS CAN,,18FECA0B,F,T,04,FF,00,00,00,00,FF,FF,,,
32,2.748514499999999,0.0006519749999966962,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
33,2.767901975000001,0.01938747500000204,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
34,2.770994000000002,0.003092025000000831,67371012,F,F,HS CAN $18F00131,HS CAN,,18F00131,F,T,FF,FF,FF,3F,00,FF,FF,FF,,,
35,2.771565975000002,0.0005719749999997248,67371012,F,F,HS CAN $18FEF131,HS CAN,,18FEF131,F,T,F7,FF,FF,07,CC,FF,FF,FF,,,
36,2.772161975000003,0.0005960000000015953,67371012,F,F,HS CAN $18FEF031,HS CAN,,18FEF031,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
37,2.772757949999999,0.000595974999995974,67371012,F,F,HS CAN $18FF0431,HS CAN,,18FF0431,F,T,40,9C,FF,FF,FF,FF,FF,FF,,,
38,2.773357924999999,0.0005999750000000859,67371012,F,F,HS CAN $18FF5031,HS CAN,,18FF5031,F,T,FF,FF,FF,FF,FF,FA,FF,FF,,,
39,2.773953699999993,0.0005957749999936368,67371012,F,F,HS CAN $18FEF231,HS CAN,,18FEF231,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
40,2.774553699999998,0.0006000000000057071,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
41,2.787901250000004,0.01334755000000598,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
42,2.807944500000005,0.02004325000000051,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
43,2.820984100000004,0.01303959999999904,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
44,2.827931824999993,0.006947724999989191,67371012,F,F,HS CAN $18F0010B,HS CAN,,18F0010B,F,T,CF,FF,F0,FF,FF,DC,FF,FF,,,
45,2.828531799999994,0.0005999750000000859,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
46,2.838095449999998,0.009563650000004032,67371012,F,F,HS CAN $18FEBF0B,HS CAN,,18FEBF0B,F,T,00,00,7D,7D,7D,7D,FF,FF,,,
47,2.848103074999998,0.01000762500000008,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
48,2.868130350000002,0.0200272750000039,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
49,2.870998200000002,0.002867850000001226,67371012,F,F,HS CAN $18F00131,HS CAN,,18F00131,F,T,FF,FF,FF,3F,00,FF,FF,FF,,,
50,2.871570175000002,0.0005719749999997248,67371012,F,F,HS CAN $18FEF131,HS CAN,,18FEF131,F,T,F7,FF,FF,07,CC,FF,FF,FF,,,
51,2.872166175000004,0.0005960000000015953,67371012,F,F,HS CAN $18FEF031,HS CAN,,18FEF031,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
52,2.87276215,0.000595974999995974,67371012,F,F,HS CAN $18FF0431,HS CAN,,18FF0431,F,T,40,9C,FF,FF,FF,FF,FF,FF,,,
53,2.873362125,0.0005999750000000859,67371012,F,F,HS CAN $18FF5031,HS CAN,,18FF5031,F,T,FF,FF,FF,FF,FF,FA,FF,FF,,,
54,2.873958325000004,0.0005962000000039325,67371012,F,F,HS CAN $18FEF231,HS CAN,,18FEF231,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
55,2.874558300000004,0.0005999750000000859,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
56,2.8881497,0.0135913999999957,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
57,2.908216874999994,0.02006717499999411,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
58,2.920972599999999,0.01275572500000521,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
59,2.926484575000004,0.005511975000004554,67371012,F,F,HS CAN $18EEFF00,HS CAN,,18EEFF00,F,T,02,03,A9,01,00,00,00,10,,,
60,2.928156575000002,0.00167199999999923,67371012,F,F,HS CAN $18F0010B,HS CAN,,18F0010B,F,T,CF,FF,F0,FF,FF,DC,FF,FF,,,
61,2.92875635,0.0005997749999977486,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
62,2.936504474999992,0.007748124999992001,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
63,2.937544274999994,0.001039800000000923,67371012,F,F,HS CAN $CF00300,HS CAN,,CF00300,F,T,F1,00,00,FF,FF,0C,00,FF,,,
64,2.938180274999994,0.0006360000000000809,67371012,F,F,HS CAN $18FEBF0B,HS CAN,,18FEBF0B,F,T,00,00,7D,7D,7D,7D,FF,FF,,,
65,2.938768249999996,0.0005879750000019612,67371012,F,F,HS CAN $18FCFD00,HS CAN,,18FCFD00,F,T,FF,FF,FF,FF,00,00,FF,FF,,,
66,2.93949225,0.000724000000005276,67371012,F,F,HS CAN $18FEDF00,HS CAN,,18FEDF00,F,T,82,FF,FF,FF,7D,00,00,00,,,
67,2.940300225000002,0.000807975000000738,67371012,F,F,HS CAN $18EA3100,HS CAN,,18EA3100,F,T,E6,FE,00,,,,,,,,
68,2.945544174999995,0.005243949999993447,67371012,F,F,HS CAN $1CECFF00,HS CAN,,1CECFF00,F,T,20,27,00,06,FF,E3,FE,00,,,
69,2.946500174999997,0.0009560000000021774,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
70,2.947500149999996,0.0009999749999991536,67371012,F,F,HS CAN $CF00A00,HS CAN,,CF00A00,F,T,00,00,00,00,FF,FF,FF,FF,,,
71,2.948212150000004,0.0007120000000071514,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
72,2.948780349999992,0.0005681999999893605,67371012,F,F,HS CAN $18F0000F,HS CAN,,18F0000F,F,T,00,7D,7D,F3,00,7D,00,61,,,
73,2.949540124999998,0.0007597750000059023,67371012,F,F,HS CAN $18FE9900,HS CAN,,18FE9900,F,T,CC,AD,FF,FF,FF,FF,FF,FF,,,
74,2.956508275000004,0.006968150000005835,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
75,2.95754805,0.001039774999995302,67371012,F,F,HS CAN $18F00E00,HS CAN,,18F00E00,F,T,FF,FF,FE,71,FF,FF,FF,FF,,,
76,2.958500049999998,0.0009519999999980656,67371012,F,F,HS CAN $18FEF200,HS CAN,,18FEF200,F,T,00,00,00,00,00,00,00,FF,,,
77,2.959492224999991,0.0009921749999932672,67371012,F,F,HS CAN $18FEDF00,HS CAN,,18FEDF00,F,T,82,FF,FF,FF,7D,00,00,00,,,
78,2.965552174999999,0.00605995000000803,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
79,2.96649995,0.000947775000000206,67371012,F,F,HS CAN $10FDA300,HS CAN,,10FDA300,F,T,FF,FF,3E,FF,FF,FF,FF,FF,,,
80,2.967487949999992,0.0009879999999924394,67371012,F,F,HS CAN $18FEE000,HS CAN,,18FEE000,F,T,FF,FF,FF,FF,CD,5C,68,00,,,
81,2.968275899999994,0.0007879500000029793,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
82,2.968859925000004,0.0005840250000090919,67371012,F,F,HS CAN $18FE9800,HS CAN,,18FE9800,F,T,00,32,FF,FF,FF,FF,FF,FF,,,
83,2.970983849999996,0.002123924999992255,67371012,F,F,HS CAN $18F00131,HS CAN,,18F00131,F,T,FF,FF,FF,3F,00,FF,FF,FF,,,
84,2.971559849999992,0.000575999999995247,67371012,F,F,HS CAN $18FEF131,HS CAN,,18FEF131,F,T,F7,FF,FF,07,CC,FF,FF,FF,,,
85,2.972155825000002,0.0005959750000101849,67371012,F,F,HS CAN $18FEF031,HS CAN,,18FEF031,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
86,2.972752,0.0005961749999983113,67371012,F,F,HS CAN $18FF0431,HS CAN,,18FF0431,F,T,40,9C,FF,FF,FF,FF,FF,FF,,,
87,2.973351975,0.0005999750000000859,67371012,F,F,HS CAN $18FF5031,HS CAN,,18FF5031,F,T,FF,FF,FF,FF,FF,FA,FF,FF,,,
88,2.973947774999999,0.000595799999999258,67371012,F,F,HS CAN $18FEF231,HS CAN,,18FEF231,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
89,2.974547950000002,0.0006001750000024231,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
90,2.976499950000004,0.00195200000000284,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
91,2.977543949999998,0.001043999999993162,67371012,F,F,HS CAN $18FF4500,HS CAN,,18FF4500,F,T,FA,00,FA,00,FF,00,00,00,,,
92,2.978491824999992,0.0009478749999942692,67371012,F,F,HS CAN $18FEDF00,HS CAN,,18FEDF00,F,T,82,FF,FF,FF,7D,00,00,00,,,
93,2.979500024999993,0.001008200000001125,67371012,F,F,HS CAN $1CFE9200,HS CAN,,1CFE9200,F,T,FF,80,B0,FF,FF,FF,FF,FF,,,
94,2.986495949999991,0.006995924999998238,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
95,2.987487924999996,0.0009919750000051408,67371012,F,F,HS CAN $CF00300,HS CAN,,CF00300,F,T,F1,00,00,FF,FF,0C,00,FF,,,
96,2.988251675000001,0.0007637500000043929,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
97,2.988839724999991,0.0005880499999904032,67371012,F,F,HS CAN $18FFA800,HS CAN,,18FFA800,F,T,00,00,00,00,04,10,0F,F3,,,
98,2.989547899999991,0.0007081749999997555,67371012,F,F,HS CAN $18FE9700,HS CAN,,18FE9700,F,T,29,3D,FF,FF,FF,FF,FF,FF,,,
99,2.996499900000004,0.006952000000012504,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
100,2.997555875000004,0.001055974999999876,67371012,F,F,HS CAN $CF00A00,HS CAN,,CF00A00,F,T,00,00,00,00,FF,FF,FF,FF,,,
101,2.998491874999999,0.000935999999995829,67371012,F,F,HS CAN $CFD9200,HS CAN,,CFD9200,F,T,F0,FF,FF,FF,FF,C3,FF,FF,,,
102,2.999491849999998,0.0009999749999991536,67371012,F,F,HS CAN $18FEDF00,HS CAN,,18FEDF00,F,T,82,FF,FF,FF,7D,00,00,00,,,
103,3.002947625000004,0.003455775000006156,67371012,F,F,HS CAN $18FEE631,HS CAN,,18FEE631,F,T,AC,03,00,00,00,00,FF,FA,,,
104,3.005539549999994,0.00259192499999017,67371012,F,F,HS CAN $1CEBFF00,HS CAN,,1CEBFF00,F,T,01,50,14,7D,60,3B,7D,40,,,
105,3.006495524999991,0.0009559749999965562,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
106,3.007491524999992,0.000996000000000663,67371012,F,F,HS CAN $18F00E00,HS CAN,,18F00E00,F,T,FF,FF,FE,71,FF,FF,FF,FF,,,
107,3.008311524999996,0.0008200000000044838,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
108,3.008891699999992,0.0005801749999960748,67371012,F,F,HS CAN $18FF4600,HS CAN,,18FF4600,F,T,FF,00,00,00,FC,FF,FF,FF,,,
109,3.009555500000004,0.0006638000000123156,67371012,F,F,HS CAN $18FD0700,HS CAN,,18FD0700,F,T,57,FF,FF,FF,FF,FF,FF,FF,,,
110,3.010487674999993,0.0009321749999884332,67371012,F,F,HS CAN $18FDD300,HS CAN,,18FDD300,F,T,40,00,FF,FF,FF,FF,FF,FF,,,
111,3.016503674999996,0.006016000000002464,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
112,3.017543849999996,0.001040174999999976,67371012,F,F,HS CAN $CFEF100,HS CAN,,CFEF100,F,T,F7,00,00,F4,00,00,1F,FF,,,
113,3.018491850000004,0.0009480000000081646,67371012,F,F,HS CAN $18FEDF00,HS CAN,,18FEDF00,F,T,82,FF,FF,FF,7D,00,00,00,,,
114,3.01947165,0.0009797999999960894,67371012,F,F,HS CAN $18FEC100,HS CAN,,18FEC100,F,T,17,10,31,0A,17,10,31,0A,,,
115,3.020975574999994,0.00150392499999441,67371012,F,F,HS CAN $CF00331,HS CAN,,CF00331,F,T,FF,FF,FF,FF,FF,FF,FF,FF,,,
116,3.026495549999993,0.005519974999998567,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
117,3.027495549999998,0.001000000000004775,67371012,F,F,HS CAN $18FD9400,HS CAN,,18FD9400,F,T,00,00,FF,FF,FF,FF,FF,FF,,,
118,3.028303550000004,0.0008080000000063592,67371012,F,F,HS CAN $18F0010B,HS CAN,,18F0010B,F,T,CF,FF,F0,FF,FF,DC,FF,FF,,,
119,3.028887775000001,0.0005842249999972182,67371012,F,F,HS CAN $18FD8C00,HS CAN,,18FD8C00,F,T,D3,03,FF,FF,FF,FF,FF,FF,,,
120,3.029471849999993,0.0005840749999919126,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
121,3.030055774999994,0.0005839250000008178,67371012,F,F,HS CAN $18FEF700,HS CAN,,18FEF700,F,T,FF,FF,FF,FF,E1,00,FF,FF,,,
122,3.036499699999993,0.00644392499999924,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
123,3.0375437,0.001044000000007372,67371012,F,F,HS CAN $CF00300,HS CAN,,CF00300,F,T,F1,00,00,FF,FF,0C,00,FF,,,
124,3.038327574999996,0.0007838749999962147,67371012,F,F,HS CAN $18FEBF0B,HS CAN,,18FEBF0B,F,T,00,00,7D,7D,7D,7D,FF,FF,,,
125,3.038915774999992,0.0005881999999957088,67371012,F,F,HS CAN $18FCFD00,HS CAN,,18FCFD00,F,T,FF,FF,FF,FF,00,00,FF,FF,,,
126,3.039539774999994,0.0006240000000019563,67371012,F,F,HS CAN $18FEDF00,HS CAN,,18FEDF00,F,T,82,FF,FF,FF,7D,00,00,00,,,
127,3.0464956,0.006955825000005689,67371012,F,F,HS CAN $CF00400,HS CAN,,CF00400,F,T,00,7D,7D,00,00,00,F0,7D,,,
128,3.047499599999995,0.001003999999994676,67371012,F,F,HS CAN $CF00A00,HS CAN,,CF00A00,F,T,00,00,00,00,FF,FF,FF,FF,,,
129,3.048371450000005,0.0008718500000099993,67371012,F,F,HS CAN $8FE6E0B,HS CAN,,8FE6E0B,F,T,00,00,00,00,00,00,00,00,,,
130,3.048939574999992,0.0005681249999867077,67371012,F,F,HS CAN $18F0000F,HS CAN,,18F0000F,F,T,00,7D,7D,F3,00,7D,00,61,,,
